name,url,price
"Mi A3 (Kind of Grey, 128 GB)",https://www.flipkart.com/mi-a3-kind-grey-128-gb/p/itm1389be24ba505?pid=MOBFJM4UFYDUVCFU&lid=LSTMOBFJM4UFYDUVCFU8EPISL&marketplace=FLIPKART&srno=b_1_14&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFJM4UFYDUVCFU.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹14,999"
"Mi A3 (Not just Blue, 128 GB)",https://www.flipkart.com/mi-a3-not-just-blue-128-gb/p/itmc04ef1e3e575e?pid=MOBFJM4ZETXGY6FD&lid=LSTMOBFJM4ZETXGY6FDILIWVD&marketplace=FLIPKART&srno=b_1_15&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFJM4ZETXGY6FD.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹14,999"
"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)",https://www.flipkart.com/redmi-note-7-pro-astro-moonlight-white-128-gb/p/itm178c61a8738f0?pid=MOBFJFZDF6EZQRHH&lid=LSTMOBFJFZDF6EZQRHHIQJHBR&marketplace=FLIPKART&srno=b_1_16&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFJFZDF6EZQRHH.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹13,999"
"Redmi Note 8 (Cosmic Purple, 128 GB)",https://www.flipkart.com/redmi-note-8-cosmic-purple-128-gb/p/itm16c6c50702ff1?pid=MOBFN29D7AG4RPZE&lid=LSTMOBFN29D7AG4RPZEY8GMF1&marketplace=FLIPKART&srno=b_1_17&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFN29D7AG4RPZE.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹15,400"
"Redmi Note 8 (Moonlight White, 128 GB)",https://www.flipkart.com/redmi-note-8-moonlight-white-128-gb/p/itm16c6c50702ff1?pid=MOBFHGTKWVZGCYGN&lid=LSTMOBFHGTKWVZGCYGNF0SKEX&marketplace=FLIPKART&srno=b_1_18&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFHGTKWVZGCYGN.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹15,955"
"Mi Mix 2 (Black, 128 GB)",https://www.flipkart.com/mi-mix-2-black-128-gb/p/itmeyk8z8cwf6faz?pid=MOBEYCHKGHZJMGJZ&lid=LSTMOBEYCHKGHZJMGJZZYU6YY&marketplace=FLIPKART&srno=b_1_19&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBEYCHKGHZJMGJZ.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹19,999"
"Redmi Note 4 (Black, 64 GB)",https://www.flipkart.com/redmi-note-4-black-64-gb/p/itmeqe48766xqzb7?pid=MOBEQ98TABTWXGTD&lid=LSTMOBEQ98TABTWXGTDACUV7N&marketplace=FLIPKART&srno=b_1_20&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBEQ98TABTWXGTD.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹12,999"
"Mi A2 (Gold, 128 GB)",https://www.flipkart.com/mi-a2-gold-128-gb/p/itmfghsgn9hhsjvq?pid=MOBFF7A5SK4JYJ8T&lid=LSTMOBFF7A5SK4JYJ8TORQSVR&marketplace=FLIPKART&srno=b_1_21&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFF7A5SK4JYJ8T.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹13,999"
"Redmi Note 5 (Black, 64 GB)",https://www.flipkart.com/redmi-note-5-black-64-gb/p/itmf2fc3phdkgahv?pid=MOBF28FTXZYZ6UYJ&lid=LSTMOBF28FTXZYZ6UYJSQJJLU&marketplace=FLIPKART&srno=b_1_22&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBF28FTXZYZ6UYJ.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹11,999"
"Redmi Note 8 (Space Black, 128 GB)",https://www.flipkart.com/redmi-note-8-space-black-128-gb/p/itm16c6c50702ff1?pid=MOBFHHQRQF2A4PS2&lid=LSTMOBFHHQRQF2A4PS2NQER50&marketplace=FLIPKART&srno=b_1_23&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFHHQRQF2A4PS2.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹15,989"
"Mi A3 (Not just Blue, 64 GB)",https://www.flipkart.com/mi-a3-not-just-blue-64-gb/p/itm12f5d66d71714?pid=MOBFJM4ZJHVHFR5Q&lid=LSTMOBFJM4ZJHVHFR5QW6FPEO&marketplace=FLIPKART&srno=b_1_24&otracker=browse&fm=organic&iid=7587d211-19b3-42c2-9bdd-57fd7c6483e3.MOBFJM4ZJHVHFR5Q.SEARCH&ssid=iej1q9s0pc0000001591261969745,"₹12,999"
"Redmi Note 7S (Sapphire Blue, 64 GB)",https://www.flipkart.com/redmi-note-7s-sapphire-blue-64-gb/p/itmfh75f4rhcjdfk?pid=MOBFGGJ8CKGVHHZU&lid=LSTMOBFGGJ8CKGVHHZULJU9WG&marketplace=FLIPKART&srno=b_2_25&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFGGJ8CKGVHHZU.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹11,999"
"Redmi 8A (Midnight Black, 32 GB)",https://www.flipkart.com/redmi-8a-midnight-black-32-gb/p/itme2e12a5859993?pid=MOBFKF98FFAAY8EB&lid=LSTMOBFKF98FFAAY8EBSLBO8I&marketplace=FLIPKART&srno=b_2_26&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFKF98FFAAY8EB.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹6,999"
"Redmi Note 8 (Neptune Blue, 64 GB)",https://www.flipkart.com/redmi-note-8-neptune-blue-64-gb/p/itm16c6c50702ff1?pid=MOBFHFFSG69TGSXQ&lid=LSTMOBFHFFSG69TGSXQGRCGVD&marketplace=FLIPKART&srno=b_2_27&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFHFFSG69TGSXQ.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹11,280"
"Redmi Note 8 (Space Black, 64 GB)",https://www.flipkart.com/redmi-note-8-space-black-64-gb/p/itm16c6c50702ff1?pid=MOBFHFFSMVQJYYWY&lid=LSTMOBFHFFSMVQJYYWYMONYQ6&marketplace=FLIPKART&srno=b_2_28&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFHFFSMVQJYYWY.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹10,960"
"Redmi Note 8 (Neptune Blue, 128 GB)",https://www.flipkart.com/redmi-note-8-neptune-blue-128-gb/p/itm16c6c50702ff1?pid=MOBFHGTDVHK5CFG5&lid=LSTMOBFHGTDVHK5CFG5E4XI4U&marketplace=FLIPKART&srno=b_2_29&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFHGTDVHK5CFG5.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹13,261"
"Redmi Note 7 Pro (Space Black, 64 GB)",https://www.flipkart.com/redmi-note-7-pro-space-black-64-gb/p/itmfegkx2gufuzhp?pid=MOBFDXZ36Y4DJBGM&lid=LSTMOBFDXZ36Y4DJBGMWJSP9M&marketplace=FLIPKART&srno=b_2_30&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFDXZ36Y4DJBGM.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹10,999"
"Redmi 8A (Ocean Blue, 32 GB)",https://www.flipkart.com/redmi-8a-ocean-blue-32-gb/p/itm1f8d1cbb1d232?pid=MOBFKF98BHTYSAHZ&lid=LSTMOBFKF98BHTYSAHZQZD5DI&marketplace=FLIPKART&srno=b_2_31&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFKF98BHTYSAHZ.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹6,999"
"Mi A2 (Red, 64 GB)",https://www.flipkart.com/mi-a2-red-64-gb/p/itmfghsgjpn6rygd?pid=MOBF9GC7QRHR9Y6J&lid=LSTMOBF9GC7QRHR9Y6JUMTGRR&marketplace=FLIPKART&srno=b_2_32&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBF9GC7QRHR9Y6J.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹10,599"
"Redmi Go (Black, 8 GB)",https://www.flipkart.com/redmi-go-black-8-gb/p/itmfeauu7ys4tkhb?pid=MOBFDZQHCJFYXZHX&lid=LSTMOBFDZQHCJFYXZHXOMENTR&marketplace=FLIPKART&srno=b_2_33&otracker=browse&fm=organic&iid=e2c23fb5-e7b8-4e33-9eda-ce249ad14365.MOBFDZQHCJFYXZHX.SEARCH&ssid=9a3c7um1hc0000001591261970492,"₹4,499"
